CustomerID,Age,Gender,Marital Status,Education Level,Occupation,Income Level,Interactions with Customer Service,Customer Preferences,Preferred Contact Time,Preferred Language
12433,27,Male,Separated,Bachelor's Degree,Doctor,40098,In-Person,In-Person Meeting,Morning,German
12434,52,Male,Married,Associate Degree,Lawyer,144973,Chat,Text,Afternoon,Spanish
12437,44,Female,Separated,Doctorate,Salesperson,29173,Mobile App,Phone,Evening,German
12441,53,Male,Divorced,High School Diploma,Nurse,68037,Email,Email,Morning,German
12451,68,Female,Widowed,Bachelor's Degree,Entrepreneur,115837,Phone,In-Person Meeting,Weekends,German
12464,20,Male,Separated,Bachelor's Degree,Nurse,52467,Mobile App,Phone,Weekends,German
12468,19,Female,Married,Bachelor's Degree,Salesperson,121084,In-Person,Mail,Evening,Mandarin
12471,21,Male,Married,Bachelor's Degree,Doctor,83525,Email,In-Person Meeting,Weekends,English
12472,62,Female,Single,High School Diploma,Salesperson,34851,In-Person,Mail,Anytime,English
12474,48,Male,Separated,High School Diploma,Entrepreneur,121006,In-Person,Text,Anytime,French
12476,40,Male,Married,Bachelor's Degree,Engineer,106079,Mobile App,Phone,Anytime,German
12477,67,Male,Married,Associate Degree,Manager,72551,Phone,In-Person Meeting,Anytime,Mandarin
12480,23,Male,Single,Doctorate,Entrepreneur,34821,In-Person,In-Person Meeting,Morning,French
12481,26,Male,Divorced,Master's Degree,Manager,34705,In-Person,In-Person Meeting,Anytime,German
12483,54,Male,Single,Associate Degree,Salesperson,46546,Chat,Mail,Weekends,French
12484,31,Female,Widowed,Bachelor's Degree,Entrepreneur,78327,Mobile App,Phone,Anytime,Spanish
12489,54,Female,Widowed,Master's Degree,Salesperson,78382,In-Person,Mail,Anytime,Mandarin
12490,65,Male,Separated,Master's Degree,Artist,73018,Mobile App,Phone,Anytime,German
12494,32,Male,Divorced,Bachelor's Degree,Doctor,119963,Chat,Mail,Afternoon,Spanish
12500,38,Male,Separated,Associate Degree,Lawyer,25836,Chat,Email,Morning,Mandarin
12501,37,Male,Separated,Doctorate,Teacher,86059,Phone,Email,Afternoon,Spanish
12502,24,Male,Divorced,Doctorate,Engineer,134103,Email,Mail,Morning,English
12503,36,Female,Widowed,Associate Degree,Artist,41419,Chat,In-Person Meeting,Evening,Mandarin
12510,58,Female,Married,Doctorate,Artist,36953,Mobile App,Email,Morning,German
12515,70,Female,Married,Associate Degree,Lawyer,65442,In-Person,Phone,Morning,Spanish
12523,65,Female,Widowed,Associate Degree,Lawyer,33756,Chat,Text,Afternoon,German
12524,34,Male,Widowed,Associate Degree,Salesperson,38885,In-Person,Phone,Weekends,English
12527,37,Female,Divorced,Doctorate,Doctor,123077,Mobile App,In-Person Meeting,Morning,French
12528,27,Male,Single,Doctorate,Salesperson,55887,Mobile App,Text,Afternoon,German
12530,39,Female,Separated,Bachelor's Degree,Doctor,121380,Mobile App,In-Person Meeting,Afternoon,Spanish
12539,53,Female,Single,Doctorate,Manager,51777,In-Person,Text,Weekends,German
12540,68,Female,Divorced,Bachelor's Degree,Doctor,123118,Phone,Text,Morning,German
12551,37,Male,Married,Associate Degree,Salesperson,141718,Chat,Email,Weekends,French
12553,22,Male,Married,High School Diploma,Doctor,55452,Mobile App,Email,Anytime,German
12557,40,Male,Married,Associate Degree,Doctor,96555,Chat,Mail,Morning,German
12559,21,Male,Married,High School Diploma,Teacher,67736,In-Person,Phone,Morning,Spanish
12567,32,Female,Widowed,High School Diploma,Manager,35257,Chat,In-Person Meeting,Evening,Spanish
12574,59,Male,Divorced,Doctorate,Salesperson,120460,In-Person,Mail,Morning,Mandarin
12577,46,Male,Widowed,High School Diploma,Nurse,39658,In-Person,Mail,Evening,French
12578,69,Male,Divorced,Doctorate,Nurse,98168,Mobile App,Mail,Weekends,German
12583,29,Female,Single,Associate Degree,Entrepreneur,73899,Email,Email,Evening,German
12585,64,Male,Widowed,High School Diploma,Lawyer,31070,Mobile App,Phone,Anytime,German
12586,23,Male,Divorced,Associate Degree,Manager,71025,Email,Email,Anytime,German
12591,62,Male,Widowed,High School Diploma,Entrepreneur,120649,In-Person,Email,Weekends,German
12594,26,Female,Divorced,Doctorate,Manager,73926,In-Person,Mail,Weekends,Mandarin
12600,30,Male,Divorced,High School Diploma,Salesperson,96156,Chat,In-Person Meeting,Weekends,German
12601,38,Male,Single,Associate Degree,Engineer,63417,Chat,Text,Morning,Spanish
12605,33,Male,Widowed,Associate Degree,Nurse,82642,Phone,Text,Morning,English
12609,56,Female,Single,Doctorate,Doctor,110862,Mobile App,Text,Afternoon,German
12621,46,Male,Single,High School Diploma,Entrepreneur,33344,Phone,Email,Anytime,English
12625,66,Male,Married,High School Diploma,Lawyer,52269,Phone,Email,Anytime,French
12626,63,Female,Single,Doctorate,Lawyer,25151,Mobile App,Mail,Afternoon,English
12637,64,Male,Separated,Master's Degree,Engineer,42322,Email,Email,Anytime,French
12643,55,Male,Divorced,High School Diploma,Entrepreneur,36031,Phone,In-Person Meeting,Evening,English
12645,69,Male,Single,Doctorate,Nurse,38328,Email,Email,Weekends,English
12647,37,Male,Married,Doctorate,Doctor,100478,Mobile App,Phone,Anytime,Mandarin
12649,58,Female,Separated,Bachelor's Degree,Manager,103805,Mobile App,Text,Anytime,Mandarin
12651,43,Male,Married,Associate Degree,Manager,30379,In-Person,In-Person Meeting,Weekends,German
12652,48,Male,Married,Master's Degree,Lawyer,42467,Chat,In-Person Meeting,Weekends,German
12662,36,Male,Widowed,Associate Degree,Lawyer,70835,Chat,Text,Evening,Spanish
12664,58,Male,Single,Doctorate,Salesperson,119912,Chat,In-Person Meeting,Anytime,German
12665,61,Male,Divorced,Master's Degree,Doctor,75863,Mobile App,Email,Evening,German
12666,55,Female,Divorced,Associate Degree,Teacher,58584,In-Person,Phone,Evening,Mandarin
12668,25,Female,Single,Associate Degree,Salesperson,138240,Mobile App,Email,Weekends,English
12672,63,Male,Single,Associate Degree,Lawyer,69187,In-Person,Phone,Afternoon,Spanish
12673,69,Female,Single,Associate Degree,Engineer,92071,Phone,Phone,Afternoon,German
12676,32,Female,Separated,Associate Degree,Lawyer,91985,Chat,In-Person Meeting,Morning,English
12678,20,Male,Divorced,Doctorate,Salesperson,124194,Phone,In-Person Meeting,Anytime,English
12681,55,Male,Widowed,Doctorate,Teacher,65081,Email,Email,Evening,French
12682,64,Female,Divorced,Doctorate,Nurse,88726,Phone,Phone,Morning,German
12683,69,Female,Widowed,Bachelor's Degree,Salesperson,52370,Email,Email,Morning,German
12686,36,Male,Single,Associate Degree,Engineer,97476,Mobile App,Text,Weekends,Mandarin
12691,40,Female,Married,Doctorate,Manager,49562,Chat,Mail,Weekends,German
12693,64,Male,Married,Bachelor's Degree,Salesperson,134266,In-Person,In-Person Meeting,Afternoon,French
12705,45,Female,Separated,Associate Degree,Salesperson,100985,Email,Text,Evening,German
12708,49,Female,Separated,Doctorate,Salesperson,120754,In-Person,Phone,Weekends,French
12709,61,Female,Widowed,High School Diploma,Doctor,26649,Phone,Text,Evening,German
12712,47,Male,Widowed,Doctorate,Doctor,71557,Phone,Text,Anytime,German
12720,66,Male,Married,Doctorate,Salesperson,40562,Chat,Phone,Anytime,English
12721,35,Female,Married,Doctorate,Nurse,111095,Chat,Mail,Weekends,French
12724,51,Male,Single,Associate Degree,Artist,46189,Mobile App,Mail,Morning,German
12725,22,Male,Married,Bachelor's Degree,Artist,34620,In-Person,Phone,Weekends,French
12726,35,Female,Widowed,Associate Degree,Doctor,26062,Phone,Email,Afternoon,Mandarin
12727,39,Male,Separated,Associate Degree,Lawyer,139137,In-Person,Email,Evening,French
12728,33,Female,Single,Associate Degree,Entrepreneur,48412,In-Person,Text,Morning,English
12731,66,Female,Widowed,Doctorate,Engineer,71342,Chat,Mail,Morning,German
12734,25,Female,Married,Doctorate,Artist,65277,In-Person,Phone,Weekends,English
12735,37,Female,Married,Master's Degree,Entrepreneur,91593,Mobile App,In-Person Meeting,Morning,French
12736,44,Female,Married,Doctorate,Manager,56830,Chat,In-Person Meeting,Anytime,French
12738,53,Female,Widowed,Doctorate,Nurse,40030,Mobile App,Mail,Evening,English
12744,36,Male,Single,Master's Degree,Lawyer,75338,Chat,In-Person Meeting,Anytime,Spanish
12747,51,Female,Widowed,Associate Degree,Entrepreneur,134300,In-Person,Mail,Weekends,French
12748,24,Male,Single,Doctorate,Nurse,123454,Mobile App,Phone,Weekends,English
12753,23,Female,Widowed,Doctorate,Engineer,38200,Chat,Phone,Evening,Mandarin
12754,46,Female,Separated,Master's Degree,Doctor,88877,Chat,In-Person Meeting,Evening,French
12755,42,Female,Single,Doctorate,Entrepreneur,86336,Mobile App,In-Person Meeting,Anytime,English
12763,29,Female,Divorced,Associate Degree,Manager,132984,Phone,In-Person Meeting,Evening,Spanish
12764,64,Male,Separated,Master's Degree,Manager,82151,Mobile App,Email,Afternoon,German
12766,32,Male,Widowed,Associate Degree,Doctor,52422,Chat,Text,Weekends,Mandarin
12775,26,Female,Separated,Master's Degree,Doctor,37356,Email,Mail,Anytime,English
12778,25,Male,Married,Bachelor's Degree,Entrepreneur,128301,In-Person,Mail,Weekends,English
12779,35,Male,Single,Doctorate,Teacher,99168,Chat,Phone,Weekends,French
12782,30,Female,Separated,Master's Degree,Salesperson,81440,Phone,In-Person Meeting,Afternoon,French
12785,39,Male,Single,High School Diploma,Teacher,92375,Chat,Text,Anytime,German
12791,43,Male,Single,Master's Degree,Nurse,89640,Chat,Email,Evening,German
12793,42,Female,Divorced,Doctorate,Doctor,92123,Chat,Mail,Morning,German
12797,45,Male,Married,Bachelor's Degree,Engineer,26722,Chat,Mail,Weekends,French
12808,27,Female,Widowed,Master's Degree,Salesperson,143756,Phone,In-Person Meeting,Morning,German
12820,41,Female,Widowed,Bachelor's Degree,Doctor,89623,In-Person,In-Person Meeting,Afternoon,French
12826,31,Male,Divorced,Master's Degree,Engineer,32606,Mobile App,Phone,Morning,Spanish
12829,41,Female,Widowed,High School Diploma,Salesperson,91211,Mobile App,Text,Weekends,German
12836,37,Female,Divorced,Associate Degree,Engineer,72400,In-Person,Mail,Morning,German
12838,52,Male,Divorced,Master's Degree,Entrepreneur,53299,In-Person,Email,Morning,English
12839,24,Female,Divorced,Doctorate,Teacher,25322,Email,Phone,Afternoon,Spanish
12841,70,Male,Married,Bachelor's Degree,Teacher,118783,Chat,Text,Morning,English
12842,35,Female,Divorced,Associate Degree,Artist,39911,Chat,Mail,Evening,French
12853,67,Male,Single,Bachelor's Degree,Lawyer,133431,Chat,Email,Weekends,Spanish
12854,37,Female,Single,Doctorate,Teacher,145000,Chat,In-Person Meeting,Afternoon,French
12855,37,Male,Divorced,High School Diploma,Teacher,34173,In-Person,Phone,Weekends,German
12865,26,Female,Separated,Associate Degree,Manager,75667,In-Person,Text,Weekends,German
12867,48,Female,Single,Master's Degree,Teacher,121737,Phone,Text,Morning,English
12868,43,Female,Separated,Associate Degree,Teacher,146348,Phone,Mail,Morning,Mandarin
12870,57,Male,Divorced,Doctorate,Teacher,66294,Mobile App,Email,Evening,French
12872,57,Male,Single,High School Diploma,Artist,60656,Chat,Text,Weekends,English
12875,42,Female,Separated,High School Diploma,Teacher,24115,Mobile App,In-Person Meeting,Anytime,Mandarin
12877,38,Female,Single,Doctorate,Salesperson,57658,Email,Email,Afternoon,Mandarin
12908,54,Female,Widowed,Master's Degree,Doctor,117501,In-Person,Text,Anytime,Mandarin
12913,45,Female,Separated,High School Diploma,Manager,40903,In-Person,In-Person Meeting,Afternoon,French
12915,20,Female,Married,Doctorate,Entrepreneur,80974,Mobile App,Phone,Afternoon,Mandarin
12916,70,Female,Single,Associate Degree,Salesperson,83933,Email,Text,Morning,French
12921,34,Female,Married,High School Diploma,Entrepreneur,83653,Chat,Email,Morning,Mandarin
12924,41,Male,Divorced,High School Diploma,Salesperson,40241,Chat,Email,Evening,French
12928,69,Female,Widowed,Master's Degree,Artist,89985,Mobile App,Text,Morning,German
12929,54,Male,Married,Associate Degree,Artist,136983,Mobile App,Email,Anytime,German
12931,20,Male,Married,High School Diploma,Artist,57296,Email,Email,Anytime,Mandarin
12935,66,Female,Separated,Bachelor's Degree,Teacher,51118,Chat,Email,Afternoon,English
12939,58,Female,Single,Doctorate,Teacher,81266,Chat,Mail,Weekends,Mandarin
12942,35,Male,Single,High School Diploma,Lawyer,67498,In-Person,Phone,Weekends,French
12944,39,Female,Single,Associate Degree,Engineer,127476,Chat,Email,Morning,French
12947,30,Male,Single,Doctorate,Manager,38437,Phone,Text,Evening,French
12951,46,Female,Married,Bachelor's Degree,Salesperson,60507,In-Person,Text,Evening,German
12956,46,Male,Widowed,Doctorate,Doctor,72803,Phone,Mail,Morning,Mandarin
12957,25,Male,Divorced,Bachelor's Degree,Manager,71459,In-Person,Mail,Afternoon,French
12963,37,Male,Single,High School Diploma,Artist,53373,In-Person,Text,Weekends,French
12967,45,Male,Divorced,Master's Degree,Manager,34479,Mobile App,Phone,Weekends,German
12970,28,Male,Married,Associate Degree,Entrepreneur,33679,Mobile App,Email,Evening,English
12971,52,Male,Divorced,Bachelor's Degree,Engineer,55137,Email,Email,Afternoon,German
12980,54,Male,Married,Bachelor's Degree,Lawyer,84497,In-Person,Mail,Morning,French
12989,68,Female,Married,High School Diploma,Salesperson,64316,In-Person,Phone,Anytime,Spanish
12990,37,Male,Divorced,Bachelor's Degree,Entrepreneur,115811,Mobile App,Phone,Weekends,Spanish
12997,62,Female,Divorced,High School Diploma,Doctor,76042,Chat,Phone,Evening,German
13000,42,Male,Separated,Bachelor's Degree,Salesperson,106222,Chat,In-Person Meeting,Morning,English
13001,41,Male,Married,Master's Degree,Manager,38761,Email,Phone,Morning,French
13002,69,Female,Single,High School Diploma,Salesperson,99394,Phone,Text,Morning,English
13004,33,Male,Widowed,Associate Degree,Nurse,90923,Chat,Mail,Afternoon,German
13008,69,Female,Widowed,Master's Degree,Manager,117853,Phone,In-Person Meeting,Evening,Mandarin
13011,40,Female,Married,Doctorate,Teacher,129889,Chat,Mail,Weekends,English
13013,37,Male,Widowed,High School Diploma,Lawyer,48832,Mobile App,Phone,Afternoon,Spanish
13021,70,Female,Widowed,High School Diploma,Artist,119272,In-Person,Email,Morning,English
13027,56,Female,Divorced,Doctorate,Lawyer,111672,Phone,Email,Anytime,Spanish
13029,26,Male,Separated,Associate Degree,Entrepreneur,122107,Email,Email,Weekends,English
13030,57,Female,Single,Master's Degree,Entrepreneur,92715,Chat,Text,Anytime,Mandarin
13033,41,Male,Married,Doctorate,Nurse,68616,Chat,Phone,Evening,French
13034,26,Female,Single,High School Diploma,Doctor,124896,Chat,Email,Morning,English
13047,26,Male,Widowed,Doctorate,Manager,54168,Chat,Mail,Morning,French
13048,25,Male,Widowed,Bachelor's Degree,Salesperson,85973,Mobile App,Text,Anytime,English
13049,29,Male,Single,High School Diploma,Teacher,64271,In-Person,Text,Evening,French
13050,20,Male,Widowed,Doctorate,Nurse,99688,Mobile App,Phone,Weekends,German
13064,53,Female,Single,Doctorate,Teacher,39532,Email,Text,Morning,Mandarin
13065,40,Male,Widowed,Bachelor's Degree,Manager,118299,Chat,Email,Weekends,French
13068,67,Male,Single,Master's Degree,Teacher,144555,In-Person,Phone,Evening,Mandarin
13069,60,Female,Separated,Bachelor's Degree,Lawyer,89222,Mobile App,Text,Evening,French
13077,24,Male,Single,Bachelor's Degree,Manager,129047,Email,Phone,Weekends,Mandarin
13078,54,Male,Separated,Associate Degree,Engineer,67271,Chat,Mail,Weekends,Spanish
13081,28,Female,Married,Master's Degree,Artist,100499,Chat,Email,Afternoon,English
13082,56,Female,Single,Master's Degree,Entrepreneur,106205,Mobile App,Mail,Weekends,Mandarin
13089,24,Female,Divorced,High School Diploma,Nurse,96639,In-Person,Email,Evening,English
13090,35,Female,Widowed,Doctorate,Engineer,136314,Chat,Text,Anytime,French
13092,69,Female,Married,Doctorate,Nurse,68136,Mobile App,Email,Morning,English
13093,40,Female,Married,Doctorate,Engineer,63964,In-Person,Mail,Weekends,Spanish
13094,36,Male,Married,Associate Degree,Engineer,47708,Chat,Email,Evening,Mandarin
13097,32,Male,Single,Master's Degree,Lawyer,61263,Phone,Email,Weekends,French
13098,31,Male,Widowed,Bachelor's Degree,Artist,109072,Email,Email,Morning,English
13102,34,Female,Separated,Doctorate,Teacher,53413,Phone,Text,Morning,German
13104,39,Female,Married,Master's Degree,Teacher,69922,Mobile App,Text,Anytime,Mandarin
13107,47,Female,Single,Master's Degree,Salesperson,40112,In-Person,Phone,Weekends,German
13108,47,Female,Married,High School Diploma,Salesperson,122889,Mobile App,Text,Evening,German
13110,29,Female,Widowed,Doctorate,Doctor,68993,Email,Phone,Weekends,English
13113,44,Male,Married,High School Diploma,Teacher,149079,Email,Text,Weekends,Mandarin
13115,69,Male,Widowed,Associate Degree,Artist,102492,Chat,Email,Weekends,English
13117,33,Female,Single,High School Diploma,Nurse,37106,Phone,Phone,Evening,Mandarin
13124,52,Female,Widowed,Bachelor's Degree,Nurse,36562,Email,Mail,Evening,English
13126,33,Female,Separated,High School Diploma,Entrepreneur,44649,Email,Text,Weekends,German
13136,63,Female,Separated,High School Diploma,Manager,121338,Chat,Mail,Morning,German
13137,37,Male,Single,Associate Degree,Artist,118012,Email,Mail,Anytime,Spanish
13138,20,Male,Widowed,High School Diploma,Entrepreneur,81854,In-Person,Email,Morning,French
13140,70,Male,Separated,Associate Degree,Teacher,81326,Phone,Text,Morning,Spanish
13141,35,Female,Widowed,High School Diploma,Engineer,55936,In-Person,Phone,Anytime,Mandarin
13144,25,Male,Divorced,Associate Degree,Salesperson,36451,Email,Mail,Afternoon,French
13145,64,Male,Single,Doctorate,Entrepreneur,69067,Mobile App,Mail,Afternoon,French
13148,38,Female,Widowed,Associate Degree,Doctor,119776,Chat,Email,Weekends,German
13155,54,Female,Divorced,Doctorate,Salesperson,51446,Email,Phone,Weekends,Mandarin
13158,41,Female,Married,High School Diploma,Engineer,71058,In-Person,Phone,Morning,German
13161,49,Male,Married,Associate Degree,Entrepreneur,24936,Chat,Mail,Weekends,German
13162,45,Female,Single,Doctorate,Nurse,109161,Mobile App,Mail,Anytime,English
13165,41,Male,Widowed,Doctorate,Manager,42738,In-Person,In-Person Meeting,Afternoon,French
13168,25,Male,Separated,High School Diploma,Salesperson,130729,Mobile App,Phone,Weekends,Mandarin
13173,39,Male,Divorced,Doctorate,Salesperson,54959,Phone,Phone,Anytime,Spanish
13174,64,Male,Married,Doctorate,Salesperson,132654,Phone,Mail,Weekends,German
13178,51,Female,Married,Doctorate,Salesperson,41433,Email,Phone,Weekends,English
13183,62,Female,Single,Doctorate,Nurse,61488,Mobile App,Mail,Anytime,German
13187,25,Male,Married,Bachelor's Degree,Engineer,31676,Phone,In-Person Meeting,Morning,Mandarin
13198,65,Male,Separated,High School Diploma,Teacher,129722,Mobile App,Mail,Morning,German
13199,65,Male,Separated,High School Diploma,Artist,46133,In-Person,Email,Morning,French
13208,25,Female,Divorced,Bachelor's Degree,Entrepreneur,147741,Chat,Phone,Morning,English
13209,55,Female,Widowed,Doctorate,Engineer,48757,Phone,Mail,Morning,German
13211,30,Male,Divorced,High School Diploma,Engineer,126336,In-Person,Email,Anytime,French
13221,62,Female,Widowed,Associate Degree,Engineer,56730,Phone,In-Person Meeting,Morning,German
13225,28,Female,Married,Doctorate,Artist,79372,Mobile App,Phone,Weekends,German
13230,32,Female,Married,Associate Degree,Teacher,82355,Email,Phone,Anytime,French
13233,45,Female,Divorced,High School Diploma,Doctor,81157,Chat,Mail,Evening,French
13238,40,Female,Separated,Associate Degree,Manager,124259,Phone,Phone,Anytime,Spanish
13240,61,Female,Widowed,Associate Degree,Artist,35393,Phone,Email,Morning,English
13246,39,Male,Separated,Associate Degree,Engineer,56990,Email,Mail,Morning,German
13253,20,Female,Separated,Doctorate,Entrepreneur,66736,Chat,Mail,Weekends,German
13255,56,Male,Married,Associate Degree,Doctor,121335,Email,Phone,Morning,Mandarin
13263,36,Female,Single,High School Diploma,Entrepreneur,31727,Chat,Mail,Weekends,German
13266,66,Male,Divorced,High School Diploma,Manager,135353,Email,Email,Evening,German
13267,66,Female,Single,Associate Degree,Doctor,108282,Mobile App,Mail,Morning,Spanish
13269,23,Female,Widowed,Doctorate,Engineer,39033,Email,Text,Evening,Mandarin
13270,55,Female,Married,Associate Degree,Salesperson,39894,Email,Phone,Afternoon,German
13280,51,Male,Married,Doctorate,Doctor,122764,Email,Email,Afternoon,French
13284,37,Female,Separated,Master's Degree,Lawyer,83728,Mobile App,In-Person Meeting,Weekends,French
13295,36,Male,Divorced,Associate Degree,Doctor,106090,Mobile App,Email,Evening,French
13304,61,Male,Single,Associate Degree,Salesperson,105989,Chat,Email,Morning,English
13305,37,Male,Single,Doctorate,Doctor,141120,Mobile App,Phone,Morning,German
13309,55,Female,Widowed,Bachelor's Degree,Entrepreneur,86535,Chat,Text,Weekends,Spanish
13310,30,Female,Divorced,Doctorate,Lawyer,118549,Phone,Email,Weekends,Mandarin
13313,56,Female,Divorced,Associate Degree,Entrepreneur,55316,Mobile App,Email,Evening,French
13317,44,Female,Separated,Doctorate,Manager,25807,Email,Mail,Weekends,French
13319,29,Female,Divorced,Associate Degree,Entrepreneur,145344,Email,Mail,Morning,French
13324,39,Female,Divorced,Doctorate,Artist,51000,Mobile App,Email,Morning,French
13327,57,Female,Separated,Bachelor's Degree,Salesperson,120883,Chat,Email,Morning,German
13328,28,Female,Married,Master's Degree,Artist,34440,Email,Phone,Afternoon,German
13329,53,Female,Single,Doctorate,Artist,77978,In-Person,Phone,Anytime,English
13330,41,Female,Divorced,Doctorate,Manager,51088,Mobile App,Phone,Afternoon,German
13368,29,Female,Married,Associate Degree,Engineer,107982,Mobile App,Phone,Afternoon,English
13369,31,Male,Divorced,Master's Degree,Doctor,106458,Chat,Email,Weekends,Mandarin
13370,19,Male,Widowed,Master's Degree,Teacher,135554,Chat,Text,Weekends,German
13385,45,Male,Single,Associate Degree,Teacher,40946,In-Person,Text,Weekends,Mandarin
13394,68,Female,Divorced,Associate Degree,Teacher,77268,In-Person,In-Person Meeting,Evening,Spanish
13396,37,Female,Married,Master's Degree,Doctor,115177,Chat,Phone,Weekends,French
13397,63,Male,Single,Doctorate,Doctor,33817,Email,Text,Morning,French
13402,45,Male,Married,High School Diploma,Lawyer,120418,Chat,Email,Anytime,English
13405,46,Male,Single,Bachelor's Degree,Salesperson,133748,Phone,In-Person Meeting,Evening,German
13408,62,Male,Divorced,Bachelor's Degree,Lawyer,73889,In-Person,Email,Evening,Mandarin
13418,70,Female,Divorced,Bachelor's Degree,Teacher,74086,Email,Email,Evening,Mandarin
13426,36,Male,Divorced,Bachelor's Degree,Salesperson,59022,Mobile App,Text,Weekends,English
13448,56,Female,Separated,High School Diploma,Doctor,117504,Chat,Email,Weekends,Mandarin
13451,57,Female,Separated,Doctorate,Artist,95718,Chat,Mail,Weekends,French
13455,42,Male,Divorced,Bachelor's Degree,Nurse,56890,Chat,Email,Anytime,French
13458,48,Female,Widowed,High School Diploma,Engineer,97240,Phone,Text,Evening,Spanish
13468,67,Male,Divorced,Associate Degree,Lawyer,66619,Chat,Mail,Evening,English
13473,33,Female,Divorced,Doctorate,Engineer,140456,Email,Phone,Afternoon,English
13481,38,Female,Divorced,Master's Degree,Teacher,64348,Email,In-Person Meeting,Morning,German
13487,54,Female,Separated,Doctorate,Teacher,33883,Phone,Mail,Weekends,German
13488,52,Male,Married,High School Diploma,Manager,114213,Chat,Text,Evening,German
13491,33,Female,Divorced,High School Diploma,Lawyer,72368,Mobile App,Email,Morning,English
13494,62,Male,Single,Master's Degree,Lawyer,91793,Mobile App,In-Person Meeting,Afternoon,Spanish
13495,43,Female,Single,Doctorate,Doctor,49599,Chat,Email,Morning,English
13496,69,Male,Widowed,Master's Degree,Salesperson,61498,In-Person,Phone,Weekends,English
13497,68,Male,Married,High School Diploma,Manager,124685,Mobile App,Email,Afternoon,French
13502,49,Female,Divorced,High School Diploma,Manager,127700,Chat,Text,Anytime,Spanish
13506,54,Female,Single,High School Diploma,Engineer,50746,Mobile App,Email,Weekends,French
13520,38,Male,Divorced,Associate Degree,Teacher,93452,Chat,In-Person Meeting,Morning,French
13523,38,Male,Married,Master's Degree,Nurse,57138,Chat,Email,Morning,English
13527,68,Male,Single,Bachelor's Degree,Artist,48290,Chat,Text,Weekends,German
13531,25,Female,Divorced,Bachelor's Degree,Nurse,37840,Email,Email,Weekends,French
13534,56,Female,Married,High School Diploma,Nurse,113160,Chat,Text,Anytime,Spanish
13538,56,Male,Single,Master's Degree,Salesperson,69758,Chat,In-Person Meeting,Weekends,English
13539,45,Female,Married,High School Diploma,Artist,124349,In-Person,Mail,Morning,French
13551,29,Male,Divorced,Master's Degree,Artist,137189,Chat,Email,Weekends,Mandarin
13552,47,Male,Married,Bachelor's Degree,Entrepreneur,146013,In-Person,Email,Anytime,Mandarin
13564,25,Female,Married,Doctorate,Artist,34177,Mobile App,Mail,Evening,German
13565,30,Male,Married,Master's Degree,Entrepreneur,115010,Chat,Mail,Afternoon,French
13569,64,Female,Widowed,Associate Degree,Lawyer,23159,Mobile App,Email,Afternoon,English
13576,68,Female,Married,High School Diploma,Manager,89518,Email,Mail,Morning,French
